file,governance,env,sim_id,mode,condition,result,time_s,path_m,efficiency,collisions,c0min,spills_human,perc_queries,meta_switches,fsm_interventions,meta2_mode,meta2_capped_ticks,meta2_on,meta2_switches,meta2_helps,meta2_fallbacks,meta2_fallback_pct,meta2_help_pct,meta2_cautious_pct,meta2_mean_tension,meta2_mean_fulfillment,mean_clearance,mean_progression,mean_reliability,laser_noise_mean,laser_noise_max,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,obs_max,reloc_jumps,tick_ms_p95,notes
20260703_100927_ours_A.json,?,real,,ours,,aborted,584.38,59.11,,3,0.14,,,0,0,,,1,1,21,77,67.8,13.9,98.5,0.681,0.238,0.486,0.078,0.661,0.216,1.0,0.068,2.2,31.2,38.6,767,2621,2361,284,0,360.9,
20260703_123318_ours_B.json,?,sim,room_v1,ours,,aborted,3.92,0.36,,0,0.82,,,0,0,0,0,,0,0,0,,,,,,0.911,0.0,0.666,0.358,1.0,0.071,3.89,58.3,97.2,8,131,0,131,0,124.5,
20260703_124347_ours_B.json,?,sim,room_v1,ours,,aborted,6.6,0.91,,0,2.33,,,0,0,0,0,,0,0,0,,,,,,1.0,0.317,0.952,0.047,0.072,0.049,4.0,55.7,55.7,8,136,2,136,0,126.3,
20260703_124655_ours_B.json,?,sim,room_v1,ours,,aborted,2.51,0.31,,0,2.16,,,0,0,0,0,,0,0,0,,,,,,1.0,0.38,0.94,0.061,0.097,0.043,3.9,56.5,4.3,0,134,0,134,0,126.0,
20260703_124834_ours_B.json,?,sim,room_v1,ours,,aborted,0.22,0.0,,0,2.3,,,0,0,0,0,,0,0,0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0,133,0,133,0,111.5,
20260703_135307_ours_B.json,?,sim,lab_v1,ours,,aborted,96.17,4.85,,8,0.17,,,0,0,0,0,,0,0,0,,,,,,0.472,0.09,0.884,0.117,0.591,0.052,3.63,62.8,47.7,47,419,188,250,0,111.5,
20260703_141733_ours_B.json,?,sim,lab_v1,ours,,aborted,20.16,0.42,,2,0.17,,,0,0,0,0,,0,0,0,,,,,,0.466,0.006,0.504,0.34,1.0,0.177,3.92,58.4,29.5,63,700,363,371,0,114.1,
20260703_142356_ours_B.json,?,sim,lab_v1,ours,,aborted,126.22,5.27,,11,0.22,,,0,0,0,0,,0,0,0,,,,,,0.48,0.075,0.89,0.111,0.63,0.057,3.58,63.5,51.1,61,473,222,251,0,112.4,
20260703_165750_ours_B.json,?,sim,lab_v1,ours,,reached,75.54,7.62,0.82,0,0.51,,0,0,0,0,0,,0,0,0,,,,,,0.734,0.262,0.879,0.12,0.788,0.027,3.64,58.9,20.1,76,476,215,275,0,111.8,
20260703_170306_ours_B.json,?,sim,lab_v1,ours,,reached,81.23,7.72,0.81,0,0.5,,0,0,0,0,0,,0,0,0,,,,,,0.729,0.247,0.89,0.11,0.788,0.03,3.31,59.6,23.8,78,460,216,264,0,111.6,
20260703_181212_ours_B.json,?,sim,lab_v1,ours,,reached,77.12,7.63,0.82,0,0.72,,0,0,0,0,0,,0,0,0,,,,,,0.811,0.257,0.893,0.107,0.567,0.028,3.49,58.7,20.5,56,474,206,268,0,115.8,
20260703_182620_ours_B.json,?,sim,lab_v1,ours,,reached,83.36,7.89,0.79,0,0.51,,0,0,0,0,0,,0,0,0,,,,,,0.705,0.242,0.894,0.106,0.59,0.03,3.32,58.9,23.4,81,498,233,275,0,117.4,
20260703_182859_ours_B.json,?,sim,lab_v1,ours,,reached,77.07,7.64,0.82,0,0.51,,0,0,0,0,0,,0,0,0,,,,,,0.729,0.257,0.893,0.107,0.573,0.026,3.54,58.5,20.2,72,476,225,253,0,116.3,
