array('d', [-133.87734375, -36.363476562500004, 29.221484375000003, 133.78398437500002])
array('d', [-133.690625, -38.65078125, 29.268164062500002, 134.01738281250002])
array('d', [-133.690625, -38.65078125, 29.268164062500002, 134.6708984375])
array('d', [-133.690625, -38.65078125, 29.268164062500002, 134.6708984375])
array('d', [-133.690625, -38.65078125, 29.268164062500002, 134.6708984375])
array('d', [-134.2974609375, -38.8375, 30.80859375, 134.6708984375])
array('d', [-134.71757812500002, -40.8447265625, 32.162304687500004, 134.2041015625])
array('d', [-133.223828125, -42.431835937500004, 32.395703125000004, 132.476953125])
array('d', [-133.037109375, -41.358203125, 34.496289062500004, 132.85039062500002])
array('d', [-133.223828125, -41.5916015625, 36.2234375, 133.9240234375])
array('d', [-133.8306640625, -43.4587890625, 34.91640625, 133.55058593750002])
array('d', [-133.8306640625, -43.4587890625, 34.91640625, 133.55058593750002])
array('d', [-133.8306640625, -42.478515625, 35.4765625, 134.157421875])
array('d', [-134.48417968750002, -41.965039062500004, 36.316796875, 133.55058593750002])
array('d', [-135.37109375, -42.338476562500006, 35.663281250000004, 133.597265625])
array('d', [-135.37109375, -42.338476562500006, 35.663281250000004, 133.597265625])
array('d', [-135.37109375, -42.338476562500006, 35.663281250000004, 133.597265625])
array('d', [-135.37109375, -42.338476562500006, 35.663281250000004, 133.597265625])
array('d', [-133.9240234375, -44.5791015625, 34.7763671875, 133.78398437500002])
array('d', [-134.1107421875, -44.205664062500006, 34.449609375, 134.01738281250002])
array('d', [-134.1107421875, -44.205664062500006, 34.449609375, 134.01738281250002])
array('d', [-134.1107421875, -44.205664062500006, 34.449609375, 134.01738281250002])
array('d', [-133.970703125, -43.6921875, 34.029492187500004, 134.1107421875])
array('d', [-134.904296875, -43.225390625, 33.0025390625, 134.99765625])
array('d', [-133.690625, -41.918359375, 32.5357421875, 133.597265625])
array('d', [-134.0640625, -9.52265625, 30.715234375, 35.7099609375])
array('d', [-134.0640625, -9.52265625, 30.715234375, 35.7099609375])
array('d', [-131.5900390625, -4.1544921875, 33.562695312500004, 27.587695312500003])
array('d', [-133.78398437500002, -2.0539062500000003, 39.02421875, 3.3142578125])
array('d', [-126.8287109375, 2.4740234375, 38.370703125, 9.055859375])
array('d', [-118.51972656250001, 3.734375, 41.825, 5.321484375000001])
array('d', [-118.51972656250001, 3.734375, 41.825, 4.761328125])
array('d', [-118.51972656250001, 3.734375, 41.825, 4.761328125])
array('d', [-118.51972656250001, 3.734375, 41.825, 4.761328125])
array('d', [-110.2107421875, 4.4345703125, 41.171484375000006, 4.761328125])
array('d', [-109.23046875, 5.0880859375, 45.5126953125, 6.2083984375000005])
array('d', [-106.709765625, 8.308984375, 45.606054687500006, 6.8619140625])
array('d', [-109.2771484375, 11.483203125000001, 47.146484375, 8.7291015625])
array('d', [-109.2771484375, 12.510156250000001, 49.807226562500006, 8.5890625])
array('d', [-110.1640625, 12.510156250000001, 49.807226562500006, 8.5890625])
array('d', [-109.04375, 10.5962890625, 49.807226562500006, 8.5890625])
array('d', [-109.04375, 10.5962890625, 49.807226562500006, 8.5890625])
array('d', [-106.84980468750001, 6.9085937500000005, 53.4482421875, 8.682421875000001])
array('d', [-106.84980468750001, 6.9085937500000005, 56.5291015625, 7.748828125])
