t,dist,holg_izq,holg_der,e_lat,e_rumbo_deg,v,w,n_front,modo,holg_verdad
13.69,0.182,0.4545783044292704,0.4775331502974023,0.002689455841088484,5.004029399158185,0.024,0.15521028589265218,0,vano,nan
13.79,0.184,0.4534420347759112,0.47437288844081077,0.003697316102073772,4.881546656671424,0.024,0.1610744375416203,0,vano,nan
13.88,0.185,0.4530046168645784,0.4742696214889579,0.0035350869691159748,4.744519291592405,0.024,0.15602700731605834,0,vano,nan
13.97,0.187,0.45204562542997917,0.47422596613630313,0.004346776192922591,4.65492106610878,0.024,0.16098653427236756,0,vano,nan
14.07,0.188,0.4530046168645784,0.472134142037437,0.004028166839594449,4.505545563234523,0.024,0.15420840857194723,0,vano,nan
14.17,0.19,0.45170459956886744,0.472134142037437,0.00445789146558756,4.419642518342847,0.024,0.1558269937496129,0,vano,nan
14.28,0.193,0.44909993278509297,0.469954931224275,0.004489622584371078,4.2963868742405635,0.024,0.15288574860178777,0,vano,nan
14.38,0.193,0.44909993278509297,0.4695959969165163,0.005222947970091679,4.178533566343378,0.024,0.1564002846875144,0,vano,nan
14.48,0.195,0.44909999186093347,0.46515676455383764,0.005888696739674654,4.110456779059181,0.024,0.1606097774903276,0,vano,nan
14.58,0.197,0.44909999186093347,0.4647733159995335,0.006261714094746268,3.953023876832085,0.024,0.15984534994372243,0,vano,nan
14.68,0.197,0.44909999186093347,0.4625630970167654,0.006586325665490167,3.8438474002389253,0.024,0.15990862060700178,0,vano,nan
14.77,0.199,0.44909999186093347,0.4603625399360276,0.0066217749188732244,3.7308386954617685,0.024,0.15726910291478585,0,vano,nan
14.87,0.202,0.4488449348920899,0.4582228043869333,0.007094546444120192,3.5420306722160793,0.024,0.15658106415227965,0,vano,nan
14.97,0.203,0.44579865327919876,0.4603625972821315,0.0068037604953185005,3.446548532168606,0.024,0.15146427403204632,0,vano,nan
15.37,0.211,0.44393633174894254,0.4534217241056289,0.007110646327863512,2.8054587576191508,0.06,0.1374425554748172,0,vano,nan
15.48,0.213,0.4460675798511905,0.4505327496737893,0.007372004121820708,2.6076646278145894,0.06,0.134616537411122,0,vano,nan
15.58,0.216,0.44509071561362207,0.4481435889425375,0.007737516720060178,2.5032532994190055,0.06,0.13517266860995125,0,vano,nan
15.68,0.22,0.44219606279405466,0.44862462520906915,0.007801748141992915,2.4076821075508863,0.06,0.13324870345511503,0,vano,nan
15.77,0.223,0.442821888317246,0.4465251720055386,0.006613591193406931,2.353282696685803,0.06,0.12113111767172985,0,vano,nan
15.87,0.226,0.4423013465600692,0.44652511449410864,0.006194666544921346,2.350110339157465,0.06,0.11727774370947969,0,vano,nan
15.98,0.233,0.44282182951285437,0.44734566601480213,0.0061243028204567285,2.5043816593586965,0.06,0.12068328390766303,0,vano,nan
16.27,0.257,0.4265850870229359,0.42423873580777255,0.008561705006661341,1.6663485628125958,0.06,0.12068024842038508,0,vano,nan
16.57,0.278,0.40855007411528577,0.3980668155101503,0.007296073008511983,0.8342928175848864,0.06,0.08750639196550292,0,vano,nan
16.67,0.285,0.40645450748594086,0.3838718282623083,0.008505508213114465,0.6521265718179772,0.06,0.09362220764498064,0,vano,nan
16.77,0.291,0.4020125228847811,0.3772987187468978,0.008120052887132578,0.4792470487393495,0.06,0.08562713438064429,0,vano,nan
16.87,0.298,0.39866215968696267,0.37046566068005127,0.008596372368504579,0.4061409657488692,0.06,0.08800009693586214,0,vano,nan
16.97,0.303,0.3918203829074133,0.3661361570691775,0.0082480069856872,0.3926075133552953,0.06,0.08451050353536108,0,vano,nan
17.07,0.308,0.3918203829074133,0.3598367803459208,0.007674143709291897,0.282888740217898,0.06,0.07647330328405891,0,vano,nan
17.17,0.312,0.3885456960845619,0.3564065659726481,0.007159723742060337,0.29038872900151874,0.06,0.0720398728261801,0,vano,nan
17.27,0.315,0.3918203829074133,0.35304875673711844,0.007716208532087793,0.12431861070972164,0.06,0.07270053040637472,0,vano,nan
17.37,0.321,0.3759502224534691,0.35304869851718346,0.009026254518003984,-0.09450905826815532,0.06,0.07876204930242814,0,vano,nan
